LastName,FirstName,StudentId,Email,ProgramCode,UserName
Anderson,Chris,016680323,canderson@flashset.com,BSD,canderson
Armstrong,Wanda,065811551,warmstrong@twitterbeat.com,BSD,warmstrong
Arnold,Ann,040971171,aarnold@eabox.info,BSD,aarnold
Austin,Matthew,034157007,maustin@jabbersphere.name,BSD,maustin
Bailey,Randy,052825804,rbailey@kamba.edu,BSD,rbailey
Banks,Victor,067284293,vbanks@dabshots.mil,BSD,vbanks
Barnes,Christine,082566086,cbarnes@oodoo.mil,BSD,cbarnes
Bell,Russell,013025092,rbell@trilia.gov,BSD,rbell
Bell,Todd,064605095,tbell@fiveclub.mil,BSD,tbell
Berry,Carol,870385186,cberry@oyoloo.edu,IFS,cberry
Bishop,Nicole,566154500,nbishop@innotype.gov,BSD,nbishop
Black,Michelle,580890147,mblack@feedmix.name,BSD,mblack
Black,Sara,724995895,sblack@miboo.edu,BSD,sblack
Bradley,Timothy,755462488,tbradley@gabspot.info,CTY,tbradley
Burke,Juan,405435690,jburke@avaveo.name,CPA,jburke
Campbell,Doris,408362751,dcampbell@livez.gov,BSD,dcampbell
Carpenter,Ashley,744926430,acarpenter@oyoba.info,CTY,acarpenter
Carpenter,Roger,192568840,rcarpenter@viva.info,CPA,rcarpenter
Carr,Patricia,141613972,pcarr@eabox.net,IFS,pcarr
Carroll,Louis,553485149,lcarroll@leexo.edu,CPA,lcarroll
Carter,Stephen,124373769,scarter@skippad.gov,IFS,scarter
Clark,Kenneth,235171010,kclark@yodo.biz,IFS,kclark
Coleman,Kelly,574354959,kcoleman@blognation.edu,IFS,kcoleman
Cox,Ann,804020426,acox@gabvine.org,CTY,acox
Cruz,Stephen,660940346,scruz@mynte.gov,BSD,scruz
Dean,Ronald,697946312,rdean@youbridge.edu,BSD,rdean
Diaz,Sharon,799944054,sdiaz@cogibox.mil,BSD,sdiaz
Dixon,Jane,654200057,jdixon@tagfeed.net,BSD,jdixon
Edwards,Harry,271068168,hedwards@jazzy.edu,BSD,hedwards
Edwards,Ronald,337503379,redwards@livez.edu,CPA,redwards
Elliott,Debra,202175362,delliott@lazz.biz,BSD,delliott
Ellis,Anne,319330646,aellis@latz.name,CTY,aellis
Fisher,Walter,699167729,wfisher@edgewire.com,IFS,wfisher
Fox,Jean,938495324,jfox@skyble.biz,BSD,jfox
Frazier,David,853812854,dfrazier@rhynyx.net,BSD,dfrazier
Garcia,Larry,913555635,lgarcia@linklinks.com,CTY,lgarcia
Gardner,Stephanie,540421904,sgardner@livetube.edu,BSD,sgardner
Gonzales,Chris,405440854,cgonzales@rooxo.biz,CTY,cgonzales
Gonzales,Michelle,182658317,mgonzales@twinder.info,BSD,mgonzales
Gonzalez,Donna,414367867,dgonzalez@zava.mil,IFS,dgonzalez
Graham,Betty,793592809,bgraham@riffpath.org,CTY,bgraham
Grant,Ralph,685394849,rgrant@kimia.biz,IFS,rgrant
Griffin,Jonathan,345644987,jgriffin@twimm.gov,BSD,jgriffin
Hanson,William,551207481,whanson@photobug.mil,CPA,whanson
Harris,Jennifer,236792688,jharris@vinte.com,BSD,jharris
Harris,Susan,178082505,sharris@leexo.edu,CTY,sharris
Harvey,Harry,407871859,hharvey@twitterbeat.gov,BSD,hharvey
Harvey,Rebecca,501733568,rharvey@jetpulse.biz,BSD,rharvey
Holmes,Laura,513476142,lholmes@geba.gov,BSD,lholmes
Knight,Sandra,109678876,sknight@skyvu.org,CPA,sknight
Lawrence,Diana,121679529,dlawrence@realbridge.net,BSD,dlawrence
Lawson,Cynthia,170671465,clawson@demimbu.gov,BSD,clawson
Little,Keith,884694437,klittle@roomm.mil,CTY,klittle
Long,Sandra,901056054,slong@oloo.com,BSD,slong
Lynch,Laura,295139515,llynch@blognation.info,BSD,llynch
Martin,Rose,193750052,rmartin@babbleset.gov,CTY,rmartin
Martinez,Jeffrey,342056185,jmartinez@jumpxs.com,BSD,jmartinez
Mason,Phyllis,372433514,pmason@bluezoom.com,IFS,pmason
Matthews,Kathleen,209254357,kmatthews@mudo.org,BSD,kmatthews
Mendoza,Albert,708441254,amendoza@meevee.mil,IFS,amendoza
Meyer,Catherine,068802411,cmeyer@realbridge.biz,BSD,cmeyer
Miller,Sandra,063326027,smiller@rhyloo.name,CPA,smiller
Mills,Carolyn,065225145,cmills@jabberstorm.edu,CPA,cmills
Montgomery,Jeffrey,084821056,jmontgomery@kwilith.info,CTY,jmontgomery
Moreno,Ruby,024148808,rmoreno@kimia.net,BSD,rmoreno
Morris,Terry,035859148,tmorris@cogibox.net,BSD,tmorris
Myers,Stephanie,056411583,smyers@brainsphere.net,BSD,smyers
Nguyen,Edward,068934580,enguyen@flashspan.mil,BSD,enguyen
Oliver,Barbara,035173586,boliver@feedspan.biz,BSD,boliver
Oliver,Harold,094571084,holiver@thoughtblab.com,CTY,holiver
Ortiz,Roy,030073150,rortiz@eadel.mil,BSD,rortiz
Palmer,Lori,093456261,lpalmer@blogpad.name,CPA,lpalmer
Payne,Mildred,043721023,mpayne@cogidoo.info,BSD,mpayne
Porter,Amanda,072592181,aporter@tagchat.edu,BSD,aporter
Rice,Deborah,014961461,drice@thoughtbridge.name,CPA,drice
Robertson,Anna,035170769,arobertson@realbuzz.gov,BSD,arobertson
Ross,Lois,039144090,lross@tanoodle.org,CPA,lross
Ross,Stephen,094977168,sross@kimia.net,BSD,sross
Ruiz,Theresa,010379805,truiz@ntags.org,BSD,truiz
Ryan,Dennis,024113083,dryan@flashpoint.mil,CTY,dryan
Sanchez,Janet,071851903,jsanchez@meeveo.mil,CTY,jsanchez
Sanchez,Steven,061543783,ssanchez@photospace.net,BSD,ssanchez
Sanders,Karen,019271856,ksanders@zoonder.org,BSD,ksanders
Spencer,Antonio,067980467,aspencer@oozz.org,IFS,aspencer
Stanley,Jesse,025137502,jstanley@topicware.org,IFS,jstanley
Stephens,Bruce,040639271,bstephens@plajo.biz,IFS,bstephens
Stevens,Evelyn,092514964,estevens@fatz.name,BSD,estevens
Torres,Diana,021313995,dtorres@devbug.mil,BSD,dtorres
Tucker,Henry,038711016,htucker@ainyx.biz,IFS,htucker
Walker,Lillian,071101282,lwalker@meevee.name,CPA,lwalker
Wallace,Joshua,029618342,jwallace@eimbee.biz,BSD,jwallace
Warren,Billy,051311574,bwarren@blogxs.org,BSD,bwarren
Warren,Lillian,082889886,lwarren@flashdog.name,CPA,lwarren
Watson,Evelyn,025130710,ewatson@tagcat.mil,BSD,ewatson
Watson,Ruby,022050570,rwatson@kare.net,CPA,rwatson
Wells,Diane,055194665,dwells@realmix.info,BSD,dwells
Wheeler,Benjamin,049106283,bwheeler@zazio.com,IFS,bwheeler
Williams,Todd,055117267,twilliams@dabtype.mil,BSD,twilliams
Wilson,Charles,030216499,cwilson@livez.name,BSD,cwilson
Young,Ruth,041057450,ryoung@zoomcast.mil,CTY,ryoung
